strategy,lane,attempts
deadline_cost_failover,ephemeral-0,29224
deadline_cost_failover,ephemeral-1,55
deadline_cost_failover,generated-0,114805
deadline_cost_failover,generated-1,5207
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,632
fso,ephemeral-0,47924
fso,ephemeral-1,40016
fso,generated-0,29313
fso,generated-1,27737
fso_fixed_code,direct-0,18724
fso_fixed_code,ephemeral-0,92199
fso_fixed_code,ephemeral-1,46310
fso_fixed_code,fixed-0,4326
fso_fixed_code,generated-0,114554
fso_fixed_code,generated-1,23407
fso_no_diversity,ephemeral-0,48203
fso_no_diversity,ephemeral-1,6956
fso_no_diversity,generated-0,92044
fso_no_diversity,generated-1,5329
fso_no_feedback,ephemeral-0,40680
fso_no_feedback,ephemeral-1,10259
fso_no_feedback,generated-0,91959
fso_no_feedback,generated-1,9402
fso_no_redundancy,ephemeral-0,23060
fso_no_redundancy,generated-0,86267
fso_no_redundancy,generated-1,5873
fso_no_semantics,ephemeral-0,103626
fso_no_semantics,ephemeral-1,21056
fso_no_semantics,generated-0,95019
fso_no_semantics,generated-1,10699
generated_only,generated-0,115200
performance_only,direct-0,107896
performance_only,ephemeral-0,198
performance_only,ephemeral-1,162
performance_only,fixed-0,5758
performance_only,generated-0,679
performance_only,generated-1,507
random_failover,direct-0,23271
random_failover,ephemeral-0,24360
random_failover,ephemeral-1,24406
random_failover,fixed-0,22620
random_failover,generated-0,24251
random_failover,generated-1,24143
session_failover,ephemeral-0,44084
session_failover,ephemeral-1,26339
session_failover,generated-0,36181
session_failover,generated-1,21973
